n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit
100,1000,1000,1,instances/n100_w1000_v1000_r1.txt,dp,3214,"11 17 70 72 90",0.010431923,seconds
100,1000,1000,1,instances/n100_w1000_v1000_r1.txt,bt,3214,"11 17 70 72 90",0.001864205,seconds
100,1000,1000,1,instances/n100_w1000_v1000_r1.txt,bb,3214,"11 17 70 72 90",0.000200359,seconds
100,1000,1000,2,instances/n100_w1000_v1000_r2.txt,dp,3426,"19 54 67 89",0.001010905,seconds
100,1000,1000,2,instances/n100_w1000_v1000_r2.txt,bt,3426,"19 54 67 89",0.000353793,seconds
100,1000,1000,2,instances/n100_w1000_v1000_r2.txt,bb,3426,"19 54 67 89",0.000121824,seconds
100,1000,1000,3,instances/n100_w1000_v1000_r3.txt,dp,2762,"4 5 8 17 73",0.002960801,seconds
100,1000,1000,3,instances/n100_w1000_v1000_r3.txt,bt,2762,"4 5 8 17 73",0.000784331,seconds
100,1000,1000,3,instances/n100_w1000_v1000_r3.txt,bb,2762,"4 5 8 17 73",0.000703317,seconds
100,1000,1000,4,instances/n100_w1000_v1000_r4.txt,dp,3349,"9 17 47 70 74",0.010042291,seconds
100,1000,1000,4,instances/n100_w1000_v1000_r4.txt,bt,3349,"9 17 47 70 74",0.001051142,seconds
100,1000,1000,4,instances/n100_w1000_v1000_r4.txt,bb,3349,"9 17 47 70 74",0.000303737,seconds
100,1000,1000,5,instances/n100_w1000_v1000_r5.txt,dp,4339,"11 21 39 76 88 95",0.005043518,seconds
100,1000,1000,5,instances/n100_w1000_v1000_r5.txt,bt,4339,"11 21 39 76 88 95",0.001659670,seconds
100,1000,1000,5,instances/n100_w1000_v1000_r5.txt,bb,4339,"11 21 39 76 88 95",0.001124081,seconds
100,1000,1000,6,instances/n100_w1000_v1000_r6.txt,dp,4551,"8 10 22 54 78 94",0.014788122,seconds
100,1000,1000,6,instances/n100_w1000_v1000_r6.txt,bt,4551,"8 10 22 54 78 94",0.002734691,seconds
100,1000,1000,6,instances/n100_w1000_v1000_r6.txt,bb,4551,"8 10 22 54 78 94",0.000885743,seconds
100,1000,1000,7,instances/n100_w1000_v1000_r7.txt,dp,4331,"13 14 20 47 62 80 94",0.007988119,seconds
100,1000,1000,7,instances/n100_w1000_v1000_r7.txt,bt,4331,"13 14 20 47 62 80 94",0.002771989,seconds
100,1000,1000,7,instances/n100_w1000_v1000_r7.txt,bb,4331,"13 14 20 47 62 80 94",0.000512152,seconds
100,1000,1000,8,instances/n100_w1000_v1000_r8.txt,dp,4144,"1 60 61 66 70",0.003899412,seconds
100,1000,1000,8,instances/n100_w1000_v1000_r8.txt,bt,4144,"1 60 61 66 70",0.001376584,seconds
100,1000,1000,8,instances/n100_w1000_v1000_r8.txt,bb,4144,"1 60 61 66 70",0.000240535,seconds
100,1000,1000,9,instances/n100_w1000_v1000_r9.txt,dp,4370,"3 11 22 96 100",0.009478129,seconds
100,1000,1000,9,instances/n100_w1000_v1000_r9.txt,bt,4370,"3 11 22 96 100",0.001442940,seconds
100,1000,1000,9,instances/n100_w1000_v1000_r9.txt,bb,4370,"3 11 22 96 100",0.000263179,seconds
100,1000,1000,10,instances/n100_w1000_v1000_r10.txt,dp,3608,"41 65 67 88 93",0.007517463,seconds
100,1000,1000,10,instances/n100_w1000_v1000_r10.txt,bt,3608,"41 65 67 88 93",0.002404005,seconds
100,1000,1000,10,instances/n100_w1000_v1000_r10.txt,bb,3608,"41 65 67 88 93",0.001282371,seconds
100,1000,100000,1,instances/n100_w1000_v100000_r1.txt,dp,4501,"2 7 21 38 55 60 90",0.018951681,seconds
100,1000,100000,1,instances/n100_w1000_v100000_r1.txt,bt,4501,"2 7 21 38 55 60 90",0.005383490,seconds
100,1000,100000,1,instances/n100_w1000_v100000_r1.txt,bb,4501,"2 7 21 38 55 60 90",0.000898922,seconds
100,1000,100000,2,instances/n100_w1000_v100000_r2.txt,dp,4077,"7 50 78 82 85",0.004199310,seconds
100,1000,100000,2,instances/n100_w1000_v100000_r2.txt,bt,4077,"7 50 78 82 85",0.001436426,seconds
100,1000,100000,2,instances/n100_w1000_v100000_r2.txt,bb,4077,"7 50 78 82 85",0.000818376,seconds
100,1000,100000,3,instances/n100_w1000_v100000_r3.txt,dp,4524,"2 17 22 23 39 43 94",0.011190447,seconds
100,1000,100000,3,instances/n100_w1000_v100000_r3.txt,bt,4524,"2 17 22 23 39 43 94",0.002840129,seconds
100,1000,100000,3,instances/n100_w1000_v100000_r3.txt,bb,4524,"2 17 22 23 39 43 94",0.000226186,seconds
100,1000,100000,4,instances/n100_w1000_v100000_r4.txt,dp,5521,"8 23 36 64 66 74 94",0.012704938,seconds
100,1000,100000,4,instances/n100_w1000_v100000_r4.txt,bt,5521,"8 23 36 64 66 74 94",0.003338216,seconds
100,1000,100000,4,instances/n100_w1000_v100000_r4.txt,bb,5521,"8 23 36 64 66 74 94",0.000549464,seconds
100,1000,100000,5,instances/n100_w1000_v100000_r5.txt,dp,5561,"17 28 36 41 45 60 65 99",0.022471160,seconds
100,1000,100000,5,instances/n100_w1000_v100000_r5.txt,bt,5561,"17 28 36 41 45 60 65 99",0.005587546,seconds
100,1000,100000,5,instances/n100_w1000_v100000_r5.txt,bb,5561,"17 28 36 41 45 60 65 99",0.000260662,seconds
100,1000,100000,6,instances/n100_w1000_v100000_r6.txt,dp,4773,"28 64 77 81 88 93",0.024675518,seconds
100,1000,100000,6,instances/n100_w1000_v100000_r6.txt,bt,4773,"28 64 77 81 88 93",0.011413749,seconds
100,1000,100000,6,instances/n100_w1000_v100000_r6.txt,bb,4773,"28 64 77 81 88 93",0.003211664,seconds
100,1000,100000,7,instances/n100_w1000_v100000_r7.txt,dp,3461,"8 26 41 47 85 90 100",0.010471387,seconds
100,1000,100000,7,instances/n100_w1000_v100000_r7.txt,bt,3461,"8 26 41 47 85 90 100",0.004543847,seconds
100,1000,100000,7,instances/n100_w1000_v100000_r7.txt,bb,3461,"8 26 41 47 85 90 100",0.002362226,seconds
100,1000,100000,8,instances/n100_w1000_v100000_r8.txt,dp,4161,"8 24 30 58 90",0.004940781,seconds
100,1000,100000,8,instances/n100_w1000_v100000_r8.txt,bt,4161,"8 24 30 58 90",0.004289950,seconds
100,1000,100000,8,instances/n100_w1000_v100000_r8.txt,bb,4161,"8 24 30 58 90",0.000717901,seconds
100,1000,100000,9,instances/n100_w1000_v100000_r9.txt,dp,4699,"6 26 29 39 47 51 64",0.019796015,seconds
100,1000,100000,9,instances/n100_w1000_v100000_r9.txt,bt,4699,"6 26 29 39 47 51 64",0.003490963,seconds
100,1000,100000,9,instances/n100_w1000_v100000_r9.txt,bb,4699,"6 26 29 39 47 51 64",0.001109940,seconds
100,1000,100000,10,instances/n100_w1000_v100000_r10.txt,dp,4906,"30 43 62 86 89 98",0.011344660,seconds
100,1000,100000,10,instances/n100_w1000_v100000_r10.txt,bt,4906,"30 43 62 86 89 98",0.004734022,seconds
100,1000,100000,10,instances/n100_w1000_v100000_r10.txt,bb,4906,"30 43 62 86 89 98",0.001502744,seconds
100,1000,1000000,1,instances/n100_w1000_v1000000_r1.txt,dp,3712,"36 38 40 69 100",0.003799192,seconds
100,1000,1000000,1,instances/n100_w1000_v1000000_r1.txt,bt,3712,"36 38 40 69 100",0.001458059,seconds
100,1000,1000000,1,instances/n100_w1000_v1000000_r1.txt,bb,3712,"36 38 40 69 100",0.000251539,seconds
100,1000,1000000,2,instances/n100_w1000_v1000000_r2.txt,dp,4766,"6 10 13 23 42 99 100",0.006459914,seconds
100,1000,1000000,2,instances/n100_w1000_v1000000_r2.txt,bt,4766,"6 10 13 23 42 99 100",0.005550868,seconds
100,1000,1000000,2,instances/n100_w1000_v1000000_r2.txt,bb,4766,"6 10 13 23 42 99 100",0.000722237,seconds
100,1000,1000000,3,instances/n100_w1000_v1000000_r3.txt,dp,3802,"15 23 53 60 93",0.006806799,seconds
100,1000,1000000,3,instances/n100_w1000_v1000000_r3.txt,bt,3802,"15 23 53 60 93",0.002367502,seconds
100,1000,1000000,3,instances/n100_w1000_v1000000_r3.txt,bb,3802,"15 23 53 60 93",0.001049049,seconds
100,1000,1000000,4,instances/n100_w1000_v1000000_r4.txt,dp,4628,"3 15 36 64 75 80",0.016499629,seconds
100,1000,1000000,4,instances/n100_w1000_v1000000_r4.txt,bt,4628,"3 15 36 64 75 80",0.005799034,seconds
100,1000,1000000,4,instances/n100_w1000_v1000000_r4.txt,bb,4628,"3 15 36 64 75 80",0.000512014,seconds
100,1000,1000000,5,instances/n100_w1000_v1000000_r5.txt,dp,4227,"19 28 50 76 90 99",0.012439164,seconds
100,1000,1000000,5,instances/n100_w1000_v1000000_r5.txt,bt,4227,"19 28 50 76 90 99",0.003045612,seconds
100,1000,1000000,5,instances/n100_w1000_v1000000_r5.txt,bb,4227,"19 28 50 76 90 99",0.002193110,seconds
100,1000,1000000,6,instances/n100_w1000_v1000000_r6.txt,dp,4439,"6 11 16 30 60 73 94",0.009433646,seconds
100,1000,1000000,6,instances/n100_w1000_v1000000_r6.txt,bt,4439,"6 11 16 30 60 73 94",0.003184101,seconds
100,1000,1000000,6,instances/n100_w1000_v1000000_r6.txt,bb,4439,"6 11 16 30 60 73 94",0.000377567,seconds
100,1000,1000000,7,instances/n100_w1000_v1000000_r7.txt,dp,3808,"3 56 57 58 63 82",0.001296941,seconds
100,1000,1000000,7,instances/n100_w1000_v1000000_r7.txt,bt,3808,"3 56 57 58 63 82",0.000677295,seconds
100,1000,1000000,7,instances/n100_w1000_v1000000_r7.txt,bb,3808,"3 56 57 58 63 82",0.000344220,seconds
100,1000,1000000,8,instances/n100_w1000_v1000000_r8.txt,dp,3991,"52 67 75 79 87 88",0.003789907,seconds
100,1000,1000000,8,instances/n100_w1000_v1000000_r8.txt,bt,3991,"52 67 75 79 87 88",0.002286527,seconds
100,1000,1000000,8,instances/n100_w1000_v1000000_r8.txt,bb,3991,"52 67 75 79 87 88",0.000769753,seconds
100,1000,1000000,9,instances/n100_w1000_v1000000_r9.txt,dp,5101,"7 37 56 69 90 97",0.002934147,seconds
100,1000,1000000,9,instances/n100_w1000_v1000000_r9.txt,bt,5101,"7 37 56 69 90 97",0.001685319,seconds
100,1000,1000000,9,instances/n100_w1000_v1000000_r9.txt,bb,5101,"7 37 56 69 90 97",0.000316989,seconds
100,1000,1000000,10,instances/n100_w1000_v1000000_r10.txt,dp,4281,"44 47 71 89 92",0.002982528,seconds
100,1000,1000000,10,instances/n100_w1000_v1000000_r10.txt,bt,4281,"44 47 71 89 92",0.000445357,seconds
100,1000,1000000,10,instances/n100_w1000_v1000000_r10.txt,bb,4281,"44 47 71 89 92",0.000197991,seconds
100,1000,10000000,1,instances/n100_w1000_v10000000_r1.txt,dp,4298,"42 46 68 77 86 99",0.002995850,seconds
100,1000,10000000,1,instances/n100_w1000_v10000000_r1.txt,bt,4298,"42 46 68 77 86 99",0.002150293,seconds
100,1000,10000000,1,instances/n100_w1000_v10000000_r1.txt,bb,4298,"42 46 68 77 86 99",0.000545420,seconds
100,1000,10000000,2,instances/n100_w1000_v10000000_r2.txt,dp,3714,"3 33 49 76 84 90",0.004498369,seconds
100,1000,10000000,2,instances/n100_w1000_v10000000_r2.txt,bt,3714,"3 33 49 76 84 90",0.001355686,seconds
100,1000,10000000,2,instances/n100_w1000_v10000000_r2.txt,bb,3714,"3 33 49 76 84 90",0.000726472,seconds
100,1000,10000000,3,instances/n100_w1000_v10000000_r3.txt,dp,4258,"3 9 35 54 84 86 92",0.004525455,seconds
100,1000,10000000,3,instances/n100_w1000_v10000000_r3.txt,bt,4258,"3 9 35 54 84 86 92",0.001620474,seconds
100,1000,10000000,3,instances/n100_w1000_v10000000_r3.txt,bb,4258,"3 9 35 54 84 86 92",0.000379630,seconds
100,1000,10000000,4,instances/n100_w1000_v10000000_r4.txt,dp,3437,"42 47 57 92",0.005462163,seconds
100,1000,10000000,4,instances/n100_w1000_v10000000_r4.txt,bt,3437,"42 47 57 92",0.002122995,seconds
100,1000,10000000,4,instances/n100_w1000_v10000000_r4.txt,bb,3437,"42 47 57 92",0.001158511,seconds
100,1000,10000000,5,instances/n100_w1000_v10000000_r5.txt,dp,4924,"5 32 37 48 77 87 88",0.008991275,seconds
100,1000,10000000,5,instances/n100_w1000_v10000000_r5.txt,bt,4924,"5 32 37 48 77 87 88",0.002633697,seconds
100,1000,10000000,5,instances/n100_w1000_v10000000_r5.txt,bb,4924,"5 32 37 48 77 87 88",0.000350132,seconds
100,1000,10000000,6,instances/n100_w1000_v10000000_r6.txt,dp,3506,"13 17 77 95",0.006311050,seconds
100,1000,10000000,6,instances/n100_w1000_v10000000_r6.txt,bt,3506,"13 17 77 95",0.001428086,seconds
100,1000,10000000,6,instances/n100_w1000_v10000000_r6.txt,bb,3506,"13 17 77 95",0.000385218,seconds
100,1000,10000000,7,instances/n100_w1000_v10000000_r7.txt,dp,5905,"1 11 17 31 39 59 94",0.037188876,seconds
100,1000,10000000,7,instances/n100_w1000_v10000000_r7.txt,bt,5905,"1 11 17 31 39 59 94",0.014361753,seconds
100,1000,10000000,7,instances/n100_w1000_v10000000_r7.txt,bb,5905,"1 11 17 31 39 59 94",0.001903818,seconds
100,1000,10000000,8,instances/n100_w1000_v10000000_r8.txt,dp,3595,"4 38 96 98 99",0.005106143,seconds
100,1000,10000000,8,instances/n100_w1000_v10000000_r8.txt,bt,3595,"4 38 96 98 99",0.001246630,seconds
100,1000,10000000,8,instances/n100_w1000_v10000000_r8.txt,bb,3595,"4 38 96 98 99",0.000225364,seconds
100,1000,10000000,9,instances/n100_w1000_v10000000_r9.txt,dp,3344,"43 49 86 92",0.001249089,seconds
100,1000,10000000,9,instances/n100_w1000_v10000000_r9.txt,bt,3344,"43 49 86 92",0.000380870,seconds
100,1000,10000000,9,instances/n100_w1000_v10000000_r9.txt,bb,3344,"43 49 86 92",0.000307556,seconds
100,1000,10000000,10,instances/n100_w1000_v10000000_r10.txt,dp,4822,"1 29 34 54 84 94 96",0.022556931,seconds
100,1000,10000000,10,instances/n100_w1000_v10000000_r10.txt,bt,4822,"1 29 34 54 84 94 96",0.007488610,seconds
100,1000,10000000,10,instances/n100_w1000_v10000000_r10.txt,bb,4822,"1 29 34 54 84 94 96",0.001812354,seconds
100,1000,100000000,1,instances/n100_w1000_v100000000_r1.txt,dp,4309,"4 25 39 46 58 81 93",0.016583513,seconds
100,1000,100000000,1,instances/n100_w1000_v100000000_r1.txt,bt,4309,"4 25 39 46 58 81 93",0.002572043,seconds
