n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit,status
100,100,100,1,instances/n100_w100_v100_r1.txt,dp,3460,25 34 53 87,0.000931025,seconds,ok
100,100,100,1,instances/n100_w100_v100_r1.txt,bb,3460,25 34 53 87,0.00030447,seconds,ok
100,100,100,2,instances/n100_w100_v100_r2.txt,dp,5129,1 4 23 35 58 84 90,0.002389902,seconds,ok
100,100,100,2,instances/n100_w100_v100_r2.txt,bb,5129,1 4 23 35 58 84 90,0.000842137,seconds,ok
100,100,100,3,instances/n100_w100_v100_r3.txt,dp,4217,17 20 37 43 82,0.002283947,seconds,ok
100,100,100,3,instances/n100_w100_v100_r3.txt,bb,4217,17 20 37 43 82,0.000581345,seconds,ok
100,100,100,4,instances/n100_w100_v100_r4.txt,dp,4011,12 54 73 99 100,0.001950411,seconds,ok
100,100,100,4,instances/n100_w100_v100_r4.txt,bb,4011,12 54 73 99 100,0.000334418,seconds,ok
100,100,100,5,instances/n100_w100_v100_r5.txt,dp,2602,1 60 69 81,0.000638148,seconds,ok
100,100,100,5,instances/n100_w100_v100_r5.txt,bb,2602,1 60 69 81,0.000187486,seconds,ok
100,100,100,6,instances/n100_w100_v100_r6.txt,dp,3232,16 30 39 63 68,0.002326903,seconds,ok
100,100,100,6,instances/n100_w100_v100_r6.txt,bb,3232,16 30 39 63 68,0.001039748,seconds,ok
100,100,100,7,instances/n100_w100_v100_r7.txt,dp,4354,8 31 58 64 87 95 96,0.001393847,seconds,ok
100,100,100,7,instances/n100_w100_v100_r7.txt,bb,4354,8 31 58 64 87 95 96,0.000551006,seconds,ok
100,100,100,8,instances/n100_w100_v100_r8.txt,dp,4118,6 18 76 84 91,0.001604952,seconds,ok
100,100,100,8,instances/n100_w100_v100_r8.txt,bb,4118,6 18 76 84 91,0.000180885,seconds,ok
100,100,100,9,instances/n100_w100_v100_r9.txt,dp,3254,9 11 37 80,0.001015716,seconds,ok
100,100,100,9,instances/n100_w100_v100_r9.txt,bb,3254,9 11 37 80,0.000313452,seconds,ok
100,100,100,10,instances/n100_w100_v100_r10.txt,dp,4518,13 27 30 31 73 75,0.003359597,seconds,ok
100,100,100,10,instances/n100_w100_v100_r10.txt,bb,4518,13 27 30 31 73 75,0.000628946,seconds,ok
100,100,200,1,instances/n100_w100_v200_r1.txt,dp,4759,19 24 48 60 78 87,0.003108011,seconds,ok
100,100,200,1,instances/n100_w100_v200_r1.txt,bb,4759,19 24 48 60 78 87,0.000658045,seconds,ok
100,100,200,2,instances/n100_w100_v200_r2.txt,dp,3213,53 63 85 97,0.002092122,seconds,ok
100,100,200,2,instances/n100_w100_v200_r2.txt,bb,3213,53 63 85 97,0.000418785,seconds,ok
100,100,200,3,instances/n100_w100_v200_r3.txt,dp,3859,6 43 70 85 91 99,0.001914888,seconds,ok
100,100,200,3,instances/n100_w100_v200_r3.txt,bb,3859,6 43 70 85 91 99,0.000165559,seconds,ok
100,100,200,4,instances/n100_w100_v200_r4.txt,dp,3996,31 33 44 45 56 62,0.003317172,seconds,ok
100,100,200,4,instances/n100_w100_v200_r4.txt,bb,3996,31 33 44 45 56 62,0.000382487,seconds,ok
100,100,200,5,instances/n100_w100_v200_r5.txt,dp,4065,2 14 20 34 38 56,0.00364164,seconds,ok
100,100,200,5,instances/n100_w100_v200_r5.txt,bb,4065,2 14 20 34 38 56,0.002175014,seconds,ok
100,100,200,6,instances/n100_w100_v200_r6.txt,dp,4669,20 34 64 69 70 85 90,0.004544799,seconds,ok
100,100,200,6,instances/n100_w100_v200_r6.txt,bb,4669,20 34 64 69 70 85 90,0.000893284,seconds,ok
100,100,200,7,instances/n100_w100_v200_r7.txt,dp,4349,10 31 32 45 48 92,0.004092069,seconds,ok
100,100,200,7,instances/n100_w100_v200_r7.txt,bb,4349,10 31 32 45 48 92,0.000934643,seconds,ok
100,100,200,8,instances/n100_w100_v200_r8.txt,dp,3466,3 26 51 66 80,0.003354489,seconds,ok
100,100,200,8,instances/n100_w100_v200_r8.txt,bb,3466,3 26 51 66 80,0.000204388,seconds,ok
100,100,200,9,instances/n100_w100_v200_r9.txt,dp,3638,11 19 48 53 60 100,0.002202733,seconds,ok
100,100,200,9,instances/n100_w100_v200_r9.txt,bb,3638,11 19 48 53 60 100,0.000528111,seconds,ok
100,100,200,10,instances/n100_w100_v200_r10.txt,dp,3291,36 47 61 73 98,0.001790498,seconds,ok
100,100,200,10,instances/n100_w100_v200_r10.txt,bb,3291,36 47 61 73 98,7.2503e-05,seconds,ok
100,100,300,1,instances/n100_w100_v300_r1.txt,dp,4303,10 11 27 34 64 68 97,0.005905058,seconds,ok
100,100,300,1,instances/n100_w100_v300_r1.txt,bb,4303,10 11 27 34 64 68 97,0.000657229,seconds,ok
100,100,300,2,instances/n100_w100_v300_r2.txt,dp,4552,5 12 22 47 57 80 85,0.005406355,seconds,ok
100,100,300,2,instances/n100_w100_v300_r2.txt,bb,4552,5 12 22 47 57 80 85,0.0005556,seconds,ok
100,100,300,3,instances/n100_w100_v300_r3.txt,dp,4047,27 41 74 78 79,0.00176119,seconds,ok
100,100,300,3,instances/n100_w100_v300_r3.txt,bb,4047,27 41 74 78 79,0.000250704,seconds,ok
100,100,300,4,instances/n100_w100_v300_r4.txt,dp,6185,8 23 29 52 64 68 73 88,0.003141827,seconds,ok
100,100,300,4,instances/n100_w100_v300_r4.txt,bb,6185,8 23 29 52 64 68 73 88,2.8858e-05,seconds,ok
100,100,300,5,instances/n100_w100_v300_r5.txt,dp,5387,15 16 20 25 66 77 81,0.004407557,seconds,ok
100,100,300,5,instances/n100_w100_v300_r5.txt,bb,5387,15 16 20 25 66 77 81,0.000482141,seconds,ok
100,100,300,6,instances/n100_w100_v300_r6.txt,dp,3608,37 41 45 55 69,0.004830342,seconds,ok
100,100,300,6,instances/n100_w100_v300_r6.txt,bb,3608,37 41 45 55 69,0.000218129,seconds,ok
