n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit,status
100,100,100,1,instances/n100_w100_v100_r1.txt,dp,3744.0,3 36 45 69 99,0.000984329,seconds,
100,100,100,1,instances/n100_w100_v100_r1.txt,bt,3744.0,3 36 45 69 99,0.000461048,seconds,
100,100,100,1,instances/n100_w100_v100_r1.txt,bb,3744.0,3 36 45 69 99,0.000512375,seconds,
100,100,100,2,instances/n100_w100_v100_r2.txt,dp,3367.0,1 15 16 29 40,0.00340956,seconds,
100,100,100,2,instances/n100_w100_v100_r2.txt,bt,3367.0,1 15 16 29 40,0.002401041,seconds,
100,100,100,2,instances/n100_w100_v100_r2.txt,bb,3367.0,1 15 16 29 40,0.000803366,seconds,
100,100,100,3,instances/n100_w100_v100_r3.txt,dp,5159.0,29 30 40 57 60 78 85 90,0.008512435,seconds,
100,100,100,3,instances/n100_w100_v100_r3.txt,bt,5159.0,29 30 40 57 60 78 85 90,0.036922444,seconds,
100,100,100,3,instances/n100_w100_v100_r3.txt,bb,5159.0,29 30 40 57 60 78 85 90,0.004439336,seconds,
100,100,100,4,instances/n100_w100_v100_r4.txt,dp,4216.0,19 30 38 57 71 100,0.002484435,seconds,
100,100,100,4,instances/n100_w100_v100_r4.txt,bt,4216.0,19 30 38 57 71 100,0.001582019,seconds,
100,100,100,4,instances/n100_w100_v100_r4.txt,bb,4216.0,19 30 38 57 71 100,0.001624488,seconds,
100,100,100,5,instances/n100_w100_v100_r5.txt,dp,4343.0,3 15 21 23 28 30,0.001770258,seconds,
100,100,100,5,instances/n100_w100_v100_r5.txt,bt,4343.0,3 15 21 23 28 30,0.000410437,seconds,
100,100,100,5,instances/n100_w100_v100_r5.txt,bb,4343.0,3 15 21 23 28 30,2.2783e-05,seconds,
100,100,100,6,instances/n100_w100_v100_r6.txt,dp,4689.0,14 42 45 72 79 98,0.002766392,seconds,
100,100,100,6,instances/n100_w100_v100_r6.txt,bt,4689.0,14 42 45 72 79 98,0.002699101,seconds,
100,100,100,6,instances/n100_w100_v100_r6.txt,bb,4689.0,14 42 45 72 79 98,0.000196542,seconds,
100,100,100,7,instances/n100_w100_v100_r7.txt,dp,3663.0,12 21 27 36 60,0.00347406,seconds,
100,100,100,7,instances/n100_w100_v100_r7.txt,bt,3663.0,12 21 27 36 60,0.002865325,seconds,
100,100,100,7,instances/n100_w100_v100_r7.txt,bb,3663.0,12 21 27 36 60,0.000634982,seconds,
100,100,100,8,instances/n100_w100_v100_r8.txt,dp,4927.0,1 12 34 46 61 83,0.002022068,seconds,
100,100,100,8,instances/n100_w100_v100_r8.txt,bt,4927.0,1 12 34 46 61 83,0.000725299,seconds,
100,100,100,8,instances/n100_w100_v100_r8.txt,bb,4927.0,1 12 34 46 61 83,0.000217502,seconds,
100,100,100,9,instances/n100_w100_v100_r9.txt,dp,3614.0,33 34 40 60 86,0.001909586,seconds,
100,100,100,9,instances/n100_w100_v100_r9.txt,bt,3614.0,33 34 40 60 86,0.000446925,seconds,
100,100,100,9,instances/n100_w100_v100_r9.txt,bb,3614.0,33 34 40 60 86,0.000160291,seconds,
100,100,100,10,instances/n100_w100_v100_r10.txt,dp,3676.0,37 42 49 58 67,0.00096553,seconds,
100,100,100,10,instances/n100_w100_v100_r10.txt,bt,3676.0,37 42 49 58 67,0.000450895,seconds,
100,100,100,10,instances/n100_w100_v100_r10.txt,bb,3676.0,37 42 49 58 67,0.000165956,seconds,
200,100,100,1,instances/n200_w100_v100_r1.txt,dp,5125.0,20 41 63 82 124 147 151 197,0.012523119,seconds,
200,100,100,1,instances/n200_w100_v100_r1.txt,bt,5125.0,20 41 63 82 124 147 151 197,0.181351175,seconds,
200,100,100,1,instances/n200_w100_v100_r1.txt,bb,5125.0,20 41 63 82 124 147 151 197,0.031096793,seconds,
200,100,100,2,instances/n200_w100_v100_r2.txt,dp,4440.0,44 69 81 101 119 127 150,0.015568579,seconds,
200,100,100,2,instances/n200_w100_v100_r2.txt,bt,4440.0,44 69 81 101 119 127 150,0.077001094,seconds,
200,100,100,2,instances/n200_w100_v100_r2.txt,bb,4440.0,44 69 81 101 119 127 150,0.031158486,seconds,
200,100,100,3,instances/n200_w100_v100_r3.txt,dp,6176.0,1 5 11 63 85 107 156 173 198,0.015845159,seconds,
200,100,100,3,instances/n200_w100_v100_r3.txt,bt,6176.0,1 5 11 63 85 107 156 173 198,0.190112526,seconds,
200,100,100,3,instances/n200_w100_v100_r3.txt,bb,6176.0,1 5 11 63 85 107 156 173 198,0.028055542,seconds,
200,100,100,4,instances/n200_w100_v100_r4.txt,dp,5101.0,1 78 118 134 152 200,0.009045324,seconds,
200,100,100,4,instances/n200_w100_v100_r4.txt,bt,5101.0,1 78 118 134 152 200,0.034502679,seconds,
200,100,100,4,instances/n200_w100_v100_r4.txt,bb,5101.0,1 78 118 134 152 200,0.003149197,seconds,
200,100,100,5,instances/n200_w100_v100_r5.txt,dp,4570.0,4 63 79 85 90 186 188 192,0.010896493,seconds,
200,100,100,5,instances/n200_w100_v100_r5.txt,bt,4570.0,4 63 79 85 90 186 188 192,0.080059911,seconds,
200,100,100,5,instances/n200_w100_v100_r5.txt,bb,4570.0,4 63 79 85 90 186 188 192,0.005466757,seconds,
200,100,100,6,instances/n200_w100_v100_r6.txt,dp,5145.0,43 46 66 115 116 144 170 173,0.010034713,seconds,
200,100,100,6,instances/n200_w100_v100_r6.txt,bt,5145.0,43 46 66 115 116 144 170 173,0.145913029,seconds,
200,100,100,6,instances/n200_w100_v100_r6.txt,bb,5145.0,43 46 66 115 116 144 170 173,0.039109956,seconds,
200,100,100,7,instances/n200_w100_v100_r7.txt,dp,6876.0,35 73 84 98 101 132 148 154 199,0.014002872,seconds,
200,100,100,7,instances/n200_w100_v100_r7.txt,bt,6876.0,35 73 84 98 101 132 148 154 199,0.285362108,seconds,
200,100,100,7,instances/n200_w100_v100_r7.txt,bb,6876.0,35 73 84 98 101 132 148 154 199,0.019771565,seconds,
200,100,100,8,instances/n200_w100_v100_r8.txt,dp,6068.0,31 51 69 77 95 106 135 155,0.020063726,seconds,
200,100,100,8,instances/n200_w100_v100_r8.txt,bt,6068.0,31 51 69 77 95 106 135 155,0.105763588,seconds,
200,100,100,8,instances/n200_w100_v100_r8.txt,bb,6068.0,31 51 69 77 95 106 135 155,0.039447742,seconds,
200,100,100,9,instances/n200_w100_v100_r9.txt,dp,6581.0,29 70 91 135 139 141 145 163 183,0.010264124,seconds,
200,100,100,9,instances/n200_w100_v100_r9.txt,bt,6581.0,29 70 91 135 139 141 145 163 183,0.24411823,seconds,
200,100,100,9,instances/n200_w100_v100_r9.txt,bb,6581.0,29 70 91 135 139 141 145 163 183,0.002823776,seconds,
200,100,100,10,instances/n200_w100_v100_r10.txt,dp,4042.0,28 32 118 140 182 190,0.005955746,seconds,
200,100,100,10,instances/n200_w100_v100_r10.txt,bt,4042.0,28 32 118 140 182 190,0.016699807,seconds,
200,100,100,10,instances/n200_w100_v100_r10.txt,bb,4042.0,28 32 118 140 182 190,0.010582998,seconds,
300,100,100,1,instances/n300_w100_v100_r1.txt,dp,6680.0,32 82 88 188 204 215 250 263 264,0.017728618,seconds,
300,100,100,1,instances/n300_w100_v100_r1.txt,bt,6680.0,32 82 88 188 204 215 250 263 264,0.624925314,seconds,
300,100,100,1,instances/n300_w100_v100_r1.txt,bb,6680.0,32 82 88 188 204 215 250 263 264,0.076924504,seconds,
300,100,100,2,instances/n300_w100_v100_r2.txt,dp,6115.0,9 35 81 160 170 259 268 297,0.022821152,seconds,
300,100,100,2,instances/n300_w100_v100_r2.txt,bt,6115.0,9 35 81 160 170 259 268 297,2.442725857,seconds,
300,100,100,2,instances/n300_w100_v100_r2.txt,bb,6115.0,9 35 81 160 170 259 268 297,0.347202086,seconds,
300,100,100,3,instances/n300_w100_v100_r3.txt,dp,6238.0,40 52 120 133 231 276 281 292,0.030782417,seconds,
300,100,100,3,instances/n300_w100_v100_r3.txt,bt,6238.0,40 52 120 133 231 276 281 292,1.457965085,seconds,
300,100,100,3,instances/n300_w100_v100_r3.txt,bb,6238.0,40 52 120 133 231 276 281 292,0.104196812,seconds,
300,100,100,4,instances/n300_w100_v100_r4.txt,dp,6493.0,26 115 130 157 228 235 259 273,0.03104979,seconds,
300,100,100,4,instances/n300_w100_v100_r4.txt,bt,6493.0,26 115 130 157 228 235 259 273,6.001215416,seconds,
300,100,100,4,instances/n300_w100_v100_r4.txt,bb,6493.0,26 115 130 157 228 235 259 273,1.35067202,seconds,
300,100,100,5,instances/n300_w100_v100_r5.txt,dp,6210.0,7 12 50 95 104 119 163 197 282,0.031345118,seconds,
300,100,100,5,instances/n300_w100_v100_r5.txt,bt,6210.0,7 12 50 95 104 119 163 197 282,0.546189709,seconds,
300,100,100,5,instances/n300_w100_v100_r5.txt,bb,6210.0,7 12 50 95 104 119 163 197 282,0.058316237,seconds,
300,100,100,6,instances/n300_w100_v100_r6.txt,dp,5555.0,4 21 28 29 88 96 119 173,0.024329086,seconds,
300,100,100,6,instances/n300_w100_v100_r6.txt,bt,5555.0,4 21 28 29 88 96 119 173,0.495876978,seconds,
300,100,100,6,instances/n300_w100_v100_r6.txt,bb,5555.0,4 21 28 29 88 96 119 173,0.084575009,seconds,
300,100,100,7,instances/n300_w100_v100_r7.txt,dp,8616.0,2 99 158 178 193 227 249 266 268 299,0.019786296,seconds,
300,100,100,7,instances/n300_w100_v100_r7.txt,bt,8616.0,2 99 158 178 193 227 249 266 268 299,1.683695278,seconds,
300,100,100,7,instances/n300_w100_v100_r7.txt,bb,8616.0,2 99 158 178 193 227 249 266 268 299,0.061303251,seconds,
300,100,100,8,instances/n300_w100_v100_r8.txt,dp,6615.0,71 102 182 186 224 232 234 255 260,0.023200553,seconds,
300,100,100,8,instances/n300_w100_v100_r8.txt,bt,6615.0,71 102 182 186 224 232 234 255 260,1.881966204,seconds,
300,100,100,8,instances/n300_w100_v100_r8.txt,bb,6615.0,71 102 182 186 224 232 234 255 260,0.529810377,seconds,
300,100,100,9,instances/n300_w100_v100_r9.txt,dp,5532.0,114 125 211 248 249 264 285,0.022942225,seconds,
300,100,100,9,instances/n300_w100_v100_r9.txt,bt,5532.0,114 125 211 248 249 264 285,0.49898881,seconds,
300,100,100,9,instances/n300_w100_v100_r9.txt,bb,5532.0,114 125 211 248 249 264 285,0.177567205,seconds,
300,100,100,10,instances/n300_w100_v100_r10.txt,dp,6262.0,40 86 112 167 271 276 298,0.021433955,seconds,
300,100,100,10,instances/n300_w100_v100_r10.txt,bt,6262.0,40 86 112 167 271 276 298,1.005429822,seconds,
300,100,100,10,instances/n300_w100_v100_r10.txt,bb,6262.0,40 86 112 167 271 276 298,0.223369984,seconds,
400,100,100,1,instances/n400_w100_v100_r1.txt,dp,7354.0,8 50 56 84 136 174 222 236 289 297 315,0.035861718,seconds,
400,100,100,1,instances/n400_w100_v100_r1.txt,bt,7354.0,8 50 56 84 136 174 222 236 289 297 315,13.473884852,seconds,
400,100,100,1,instances/n400_w100_v100_r1.txt,bb,7354.0,8 50 56 84 136 174 222 236 289 297 315,0.291199311,seconds,
400,100,100,2,instances/n400_w100_v100_r2.txt,dp,5110.0,6 87 282 286 326 362 398,0.027304722,seconds,
400,100,100,2,instances/n400_w100_v100_r2.txt,bt,5110.0,6 87 282 286 326 362 398,0.814603968,seconds,
400,100,100,2,instances/n400_w100_v100_r2.txt,bb,5110.0,6 87 282 286 326 362 398,0.159096673,seconds,
400,100,100,3,instances/n400_w100_v100_r3.txt,dp,6609.0,31 58 105 126 146 226 241 266 326 382,0.039163428,seconds,
400,100,100,3,instances/n400_w100_v100_r3.txt,bt,6609.0,31 58 105 126 146 226 241 266 326 382,10.406005164,seconds,
400,100,100,3,instances/n400_w100_v100_r3.txt,bb,6609.0,31 58 105 126 146 226 241 266 326 382,0.893833529,seconds,
400,100,100,4,instances/n400_w100_v100_r4.txt,dp,6040.0,54 59 92 129 172 203 297 330,0.037903838,seconds,
400,100,100,4,instances/n400_w100_v100_r4.txt,bt,6040.0,54 59 92 129 172 203 297 330,10.673835392,seconds,
400,100,100,4,instances/n400_w100_v100_r4.txt,bb,6040.0,54 59 92 129 172 203 297 330,0.645934033,seconds,
400,100,100,5,instances/n400_w100_v100_r5.txt,dp,6072.0,30 103 114 119 167 188 230 273 334,0.029373489,seconds,
400,100,100,5,instances/n400_w100_v100_r5.txt,bt,6072.0,30 103 114 119 167 188 230 273 334,6.074897813,seconds,
400,100,100,5,instances/n400_w100_v100_r5.txt,bb,6072.0,30 103 114 119 167 188 230 273 334,0.283081638,seconds,
