n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit
100,100,100,1,instances/n100_w100_v100_r1.txt,dp,2801,"8 49 53 67",0.001487883,seconds
100,100,100,1,instances/n100_w100_v100_r1.txt,bt,2801,"8 49 53 67",0.000543191,seconds
100,100,100,1,instances/n100_w100_v100_r1.txt,bb,2801,"8 49 53 67",0.000193976,seconds
100,100,100,2,instances/n100_w100_v100_r2.txt,dp,4370,"15 21 26 36 52 61 84",0.003410453,seconds
100,100,100,2,instances/n100_w100_v100_r2.txt,bt,4370,"15 21 26 36 52 61 84",0.002024614,seconds
100,100,100,2,instances/n100_w100_v100_r2.txt,bb,4370,"15 21 26 36 52 61 84",0.001322342,seconds
100,100,100,3,instances/n100_w100_v100_r3.txt,dp,5180,"5 26 29 49 51 69 77",0.004859518,seconds
100,100,100,3,instances/n100_w100_v100_r3.txt,bt,5180,"5 26 29 49 51 69 77",0.009176839,seconds
100,100,100,3,instances/n100_w100_v100_r3.txt,bb,5180,"5 26 29 49 51 69 77",0.001546420,seconds
100,100,100,4,instances/n100_w100_v100_r4.txt,dp,3244,"12 46 62 74 78",0.001440320,seconds
100,100,100,4,instances/n100_w100_v100_r4.txt,bt,3244,"12 46 62 74 78",0.001361467,seconds
100,100,100,4,instances/n100_w100_v100_r4.txt,bb,3244,"12 46 62 74 78",0.000985026,seconds
100,100,100,5,instances/n100_w100_v100_r5.txt,dp,4194,"12 19 20 59 75 76",0.002542218,seconds
100,100,100,5,instances/n100_w100_v100_r5.txt,bt,4194,"12 19 20 59 75 76",0.002690368,seconds
100,100,100,5,instances/n100_w100_v100_r5.txt,bb,4194,"12 19 20 59 75 76",0.000383616,seconds
100,100,100,6,instances/n100_w100_v100_r6.txt,dp,4454,"3 6 11 58 62 92",0.004129142,seconds
100,100,100,6,instances/n100_w100_v100_r6.txt,bt,4454,"3 6 11 58 62 92",0.002105177,seconds
100,100,100,6,instances/n100_w100_v100_r6.txt,bb,4454,"3 6 11 58 62 92",0.001358777,seconds
100,100,100,7,instances/n100_w100_v100_r7.txt,dp,3734,"5 24 41 77 90 94",0.002148875,seconds
100,100,100,7,instances/n100_w100_v100_r7.txt,bt,3734,"5 24 41 77 90 94",0.001568335,seconds
100,100,100,7,instances/n100_w100_v100_r7.txt,bb,3734,"5 24 41 77 90 94",0.000585779,seconds
100,100,100,8,instances/n100_w100_v100_r8.txt,dp,4083,"14 18 40 63 67 78",0.001666184,seconds
100,100,100,8,instances/n100_w100_v100_r8.txt,bt,4083,"14 18 40 63 67 78",0.000849367,seconds
100,100,100,8,instances/n100_w100_v100_r8.txt,bb,4083,"14 18 40 63 67 78",0.000324710,seconds
100,100,100,9,instances/n100_w100_v100_r9.txt,dp,4270,"9 15 38 77 90 95",0.001505465,seconds
100,100,100,9,instances/n100_w100_v100_r9.txt,bt,4270,"9 15 38 77 90 95",0.000659935,seconds
100,100,100,9,instances/n100_w100_v100_r9.txt,bb,4270,"9 15 38 77 90 95",0.000178810,seconds
100,100,100,10,instances/n100_w100_v100_r10.txt,dp,2947,"2 29 39 42",0.000806333,seconds
100,100,100,10,instances/n100_w100_v100_r10.txt,bt,2947,"2 29 39 42",0.000569349,seconds
100,100,100,10,instances/n100_w100_v100_r10.txt,bb,2947,"2 29 39 42",0.000180150,seconds
100,100,200,1,instances/n100_w100_v200_r1.txt,dp,5010,"7 13 36 45 94 95",0.004374055,seconds
100,100,200,1,instances/n100_w100_v200_r1.txt,bt,5010,"7 13 36 45 94 95",0.001973865,seconds
100,100,200,1,instances/n100_w100_v200_r1.txt,bb,5010,"7 13 36 45 94 95",0.000245530,seconds
100,100,200,2,instances/n100_w100_v200_r2.txt,dp,4172,"19 65 74 77 83 94",0.003534706,seconds
100,100,200,2,instances/n100_w100_v200_r2.txt,bt,4172,"19 65 74 77 83 94",0.002713345,seconds
100,100,200,2,instances/n100_w100_v200_r2.txt,bb,4172,"19 65 74 77 83 94",0.000535058,seconds
100,100,200,3,instances/n100_w100_v200_r3.txt,dp,4558,"10 42 54 60 71 79",0.003674417,seconds
100,100,200,3,instances/n100_w100_v200_r3.txt,bt,4558,"10 42 54 60 71 79",0.001913315,seconds
100,100,200,3,instances/n100_w100_v200_r3.txt,bb,4558,"10 42 54 60 71 79",0.000426013,seconds
100,100,200,4,instances/n100_w100_v200_r4.txt,dp,4469,"34 64 70 81 91",0.002692436,seconds
