N (Itens),Metodo,Lucro,Tempo (ms),Desvio (ms),IC 95% (ms)
100,Backtracking,"R$ 4.479,00","3,07","1,20","0,74"
100,BnB,"R$ 4.479,00","0,78","0,5","0,31"
100,Dinamica,"R$ 4.479,00","9,38","4,95","3,07"
200,Backtracking,"R$ 5.740,20","176,26","151,31","93,78"
200,BnB,"R$ 5.740,20","21,34","19,89","12,33"
200,Dinamica,"R$ 5.740,20","421,46","184,21","114,17"
300,Backtracking,"R$ 6.433,90","2472,33","2047,49","1269,05"
300,BnB,"R$ 6.433,90","215,77","108,43","67,21"
300,Dinamica,"R$ 6.433,90","644,92","142,11","88,08"
400,Backtracking,"R$ 7.203,60","54046,19","155540,58","96405,05"
400,BnB,"R$ 7.203,60","2186,41","4310,03","2671,39"
400,Dinamica,"R$ 7.203,60","800,38","234,13","145,12"
500,Backtracking,"R$ 8.003,50","80938,65","61588,03","38172,65"
500,BnB,"R$ 8.003,50","15688,62","13233,26","8202,06"
500,Dinamica,"R$ 8.003,50","1282,83","217,44","134,77"
