N (Itens),Metodo,Lucro,Tempo (ms),Desvio (ms),IC 95% (ms)
100,Backtracking,"R$ 4.224,35","2,51","2,63","0,33"
100,BnB,"R$ 4.224,35","0,7","0,69","0,086"
100,Dinamica,"R$ 4.224,35","5,95","6,55","0,81"
200,Backtracking,"R$ 5.449,19","135,21","198,71","24,63"
200,BnB,"R$ 5.449,19","21,76","27,29","3,38"
200,Dinamica,"R$ 5.449,19","67,78","85,61","10,61"
300,Backtracking,"R$ 6.413,50","2078,04","3941,64","488,61"
300,BnB,"R$ 6.413,50","237,50","260,02","32,23"
300,Dinamica,"R$ 6.413,50","209,47","246,00","30,50"
400,Backtracking,"R$ 7.159,03","20620,42","32838,51","4070,70"
400,BnB,"R$ 7.159,03","2114,92","3740,67","463,70"
400,Dinamica,"R$ 7.159,03","463,21","559,61","69,37"
500,Backtracking,"R$ 7.690,23","107349,12","181476,07","22496,01"
500,BnB,"R$ 7.690,23","10284,93","14983,80","1857,41"
500,Dinamica,"R$ 7.690,23","492,30","491,48","60,92"
600,Backtracking,"R$ 8.120,59","340572,63","493271,33","78678,03"
600,BnB,"R$ 8.120,59","30863,91","46119,17","7356,12"
600,Dinamica,"R$ 8.120,46","281,36","190,93","30,35"
700,Backtracking,"R$ 8.738,40","2614005,92","2720350,51","1686090,71"
700,BnB,"R$ 8.738,40","383136,13","345567,14","214184,74"
700,Dinamica,"R$ 8.738,40","4693,00","1758,94","1090,20"
800,Backtracking,"R$ 10.022,33","6021482,90","2547461,45","2882724,01"
800,BnB,"R$ 10.034,50","805789,41","150657,94","208801,26"
800,Dinamica,"R$ 10.022,33","4578,84","546,22","618,10"
1000,Backtracking,"R$ 9.398,00","5972688,15",,0
1000,BnB,"R$ 9.398,00","343263,70",,0
1000,Dinamica,"R$ 8.758,50","440,41","58,72","81,38"
