arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,algoritmo_mais_rapido,menor_tempo_medio
100a600.csv,100.0,100.0,100.0,bb,"0,00071"
100a600.csv,100.0,100.0,200.0,bb,"0,0008"
100a600.csv,100.0,100.0,300.0,bb,"0,00053"
100a600.csv,100.0,100.0,400.0,bb,"0,00037"
100a600.csv,100.0,100.0,500.0,bb,"0,0009"
100a600.csv,100.0,200.0,100.0,bb,"0,00092"
100a600.csv,100.0,200.0,200.0,bb,"0,0011"
100a600.csv,100.0,200.0,300.0,bb,"0,00066"
100a600.csv,100.0,200.0,400.0,bb,"0,00051"
100a600.csv,100.0,200.0,500.0,bb,"0,00041"
100a600.csv,100.0,300.0,100.0,bb,"0,00062"
100a600.csv,100.0,300.0,200.0,bb,"0,0011"
100a600.csv,100.0,300.0,300.0,bb,"0,00051"
100a600.csv,100.0,300.0,400.0,bb,"0,00061"
100a600.csv,100.0,300.0,500.0,bb,"0,0006"
100a600.csv,100.0,400.0,100.0,bb,"0,00049"
100a600.csv,100.0,400.0,200.0,bb,"0,00061"
100a600.csv,100.0,400.0,300.0,bb,"0,00067"
100a600.csv,100.0,400.0,400.0,bb,"0,00033"
100a600.csv,100.0,400.0,500.0,bb,"0,00064"
100a600.csv,100.0,500.0,100.0,bb,"0,0012"
100a600.csv,100.0,500.0,200.0,bb,"0,00095"
100a600.csv,100.0,500.0,300.0,bb,"0,00079"
100a600.csv,100.0,500.0,400.0,bb,"0,001"
100a600.csv,100.0,500.0,500.0,bb,"0,0006"
100a600.csv,200.0,100.0,100.0,dp,"0,01"
100a600.csv,200.0,100.0,200.0,dp,"0,016"
100a600.csv,200.0,100.0,300.0,bb,"0,011"
100a600.csv,200.0,100.0,400.0,bb,"0,021"
100a600.csv,200.0,100.0,500.0,bb,"0,027"
100a600.csv,200.0,200.0,100.0,dp,"0,019"
100a600.csv,200.0,200.0,200.0,bb,"0,025"
100a600.csv,200.0,200.0,300.0,bb,"0,023"
100a600.csv,200.0,200.0,400.0,bb,"0,012"
100a600.csv,200.0,200.0,500.0,bb,"0,024"
100a600.csv,200.0,300.0,100.0,bb,"0,0098"
100a600.csv,200.0,300.0,200.0,bb,"0,032"
100a600.csv,200.0,300.0,300.0,bb,"0,033"
100a600.csv,200.0,300.0,400.0,bb,"0,0096"
100a600.csv,200.0,300.0,500.0,bb,"0,018"
100a600.csv,200.0,400.0,100.0,bb,"0,01"
100a600.csv,200.0,400.0,200.0,bb,"0,024"
100a600.csv,200.0,400.0,300.0,bb,"0,024"
100a600.csv,200.0,400.0,400.0,bb,"0,033"
100a600.csv,200.0,400.0,500.0,bb,"0,031"
100a600.csv,200.0,500.0,100.0,bb,"0,022"
100a600.csv,200.0,500.0,200.0,bb,"0,011"
100a600.csv,200.0,500.0,300.0,bb,"0,02"
100a600.csv,200.0,500.0,400.0,bb,"0,022"
100a600.csv,200.0,500.0,500.0,bb,"0,042"
100a600.csv,300.0,100.0,100.0,dp,"0,022"
100a600.csv,300.0,100.0,200.0,dp,"0,033"
100a600.csv,300.0,100.0,300.0,dp,"0,05"
100a600.csv,300.0,100.0,400.0,dp,"0,084"
100a600.csv,300.0,100.0,500.0,dp,"0,092"
100a600.csv,300.0,200.0,100.0,dp,"0,035"
100a600.csv,300.0,200.0,200.0,dp,"0,08"
100a600.csv,300.0,200.0,300.0,dp,"0,12"
100a600.csv,300.0,200.0,400.0,dp,"0,19"
100a600.csv,300.0,200.0,500.0,dp,"0,18"
100a600.csv,300.0,300.0,100.0,dp,"0,05"
100a600.csv,300.0,300.0,200.0,dp,"0,11"
100a600.csv,300.0,300.0,300.0,dp,"0,14"
100a600.csv,300.0,300.0,400.0,bb,"0,19"
100a600.csv,300.0,300.0,500.0,bb,"0,21"
100a600.csv,300.0,400.0,100.0,dp,"0,063"
100a600.csv,300.0,400.0,200.0,dp,"0,16"
100a600.csv,300.0,400.0,300.0,bb,"0,19"
100a600.csv,300.0,400.0,400.0,bb,"0,2"
100a600.csv,300.0,400.0,500.0,bb,"0,35"
100a600.csv,300.0,500.0,100.0,dp,"0,08"
100a600.csv,300.0,500.0,200.0,dp,"0,24"
100a600.csv,300.0,500.0,300.0,dp,"0,26"
100a600.csv,300.0,500.0,400.0,bb,"0,29"
100a600.csv,300.0,500.0,500.0,bb,"0,23"
100a600.csv,400.0,100.0,100.0,dp,"0,035"
100a600.csv,400.0,100.0,200.0,dp,"0,056"
100a600.csv,400.0,100.0,300.0,dp,"0,11"
100a600.csv,400.0,100.0,400.0,dp,"0,13"
100a600.csv,400.0,100.0,500.0,dp,"0,18"
100a600.csv,400.0,200.0,100.0,dp,"0,063"
100a600.csv,400.0,200.0,200.0,dp,"0,13"
100a600.csv,400.0,200.0,300.0,dp,"0,2"
100a600.csv,400.0,200.0,400.0,dp,"0,32"
100a600.csv,400.0,200.0,500.0,dp,"0,45"
100a600.csv,400.0,300.0,100.0,dp,"0,093"
100a600.csv,400.0,300.0,200.0,dp,"0,16"
100a600.csv,400.0,300.0,300.0,dp,"0,29"
100a600.csv,400.0,300.0,400.0,dp,"0,58"
100a600.csv,400.0,300.0,500.0,dp,"0,7"
100a600.csv,400.0,400.0,100.0,dp,"0,15"
100a600.csv,400.0,400.0,200.0,dp,"0,26"
100a600.csv,400.0,400.0,300.0,dp,"0,52"
100a600.csv,400.0,400.0,400.0,dp,"1,0399"
100a600.csv,400.0,400.0,500.0,dp,"1,5335"
100a600.csv,400.0,500.0,100.0,dp,"0,15"
100a600.csv,400.0,500.0,200.0,dp,"0,36"
100a600.csv,400.0,500.0,300.0,dp,"0,93"
100a600.csv,400.0,500.0,400.0,dp,"1,3643"
100a600.csv,400.0,500.0,500.0,dp,"1,7542"
100a600.csv,500.0,100.0,100.0,dp,"0,042"
100a600.csv,500.0,100.0,200.0,dp,"0,079"
100a600.csv,500.0,100.0,300.0,dp,"0,15"
100a600.csv,500.0,100.0,400.0,dp,"0,2"
100a600.csv,500.0,100.0,500.0,dp,"0,25"
100a600.csv,500.0,200.0,100.0,dp,"0,097"
100a600.csv,500.0,200.0,200.0,dp,"0,19"
100a600.csv,500.0,200.0,300.0,dp,"0,23"
100a600.csv,500.0,200.0,400.0,dp,"0,35"
100a600.csv,500.0,200.0,500.0,dp,"0,45"
100a600.csv,500.0,300.0,100.0,dp,"0,12"
100a600.csv,500.0,300.0,200.0,dp,"0,29"
100a600.csv,500.0,300.0,300.0,dp,"0,52"
100a600.csv,500.0,300.0,400.0,dp,"0,78"
100a600.csv,500.0,300.0,500.0,dp,"0,7"
100a600.csv,500.0,400.0,100.0,dp,"0,15"
100a600.csv,500.0,400.0,200.0,dp,"0,26"
100a600.csv,500.0,400.0,300.0,dp,"0,49"
100a600.csv,500.0,400.0,400.0,dp,"0,74"
100a600.csv,500.0,400.0,500.0,dp,"1,2335"
100a600.csv,500.0,500.0,100.0,dp,"0,21"
100a600.csv,500.0,500.0,200.0,dp,"0,46"
100a600.csv,500.0,500.0,300.0,dp,"0,84"
100a600.csv,500.0,500.0,400.0,dp,"1,5420"
100a600.csv,500.0,500.0,500.0,dp,"1,9229"
100a600.csv,600.0,100.0,100.0,dp,"0,059"
100a600.csv,600.0,100.0,200.0,dp,"0,13"
100a600.csv,600.0,100.0,300.0,dp,"0,17"
100a600.csv,600.0,100.0,400.0,dp,"0,29"
100a600.csv,600.0,100.0,500.0,dp,"0,33"
100a600.csv,600.0,200.0,100.0,dp,"0,11"
