arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,tempo_medio_dp,tempo_medio_bt,tempo_medio_bb,razao_tempo_bt_sobre_dp,razao_tempo_bb_sobre_dp,razao_tempo_bb_sobre_bt
100a600.csv,100.0,100.0,100.0,"0,0024","0,0022","0,00071","0,9","0,29","0,33"
100a600.csv,100.0,100.0,200.0,"0,0039","0,0027","0,0008","0,69","0,2","0,29"
100a600.csv,100.0,100.0,300.0,"0,0033","0,0013","0,00053","0,38","0,16","0,42"
100a600.csv,100.0,100.0,400.0,"0,0037","0,0016","0,00037","0,44","0,1","0,23"
100a600.csv,100.0,100.0,500.0,"0,0039","0,0021","0,0009","0,52","0,23","0,44"
100a600.csv,100.0,200.0,100.0,"0,0041","0,0036","0,00092","0,87","0,22","0,26"
100a600.csv,100.0,200.0,200.0,"0,0053","0,0031","0,0011","0,58","0,22","0,37"
100a600.csv,100.0,200.0,300.0,"0,0059","0,0031","0,00066","0,52","0,11","0,21"
100a600.csv,100.0,200.0,400.0,"0,012","0,0042","0,00051","0,36","0,044","0,12"
100a600.csv,100.0,200.0,500.0,"0,0046","0,0016","0,00041","0,35","0,09","0,25"
100a600.csv,100.0,300.0,100.0,"0,0032","0,0016","0,00062","0,5","0,19","0,38"
100a600.csv,100.0,300.0,200.0,"0,0062","0,0031","0,0011","0,49","0,17","0,34"
100a600.csv,100.0,300.0,300.0,"0,0051","0,0018","0,00051","0,35","0,1","0,29"
100a600.csv,100.0,300.0,400.0,"0,0067","0,0023","0,00061","0,34","0,091","0,27"
100a600.csv,100.0,300.0,500.0,"0,0052","0,0018","0,0006","0,34","0,11","0,34"
100a600.csv,100.0,400.0,100.0,"0,0054","0,0024","0,00049","0,44","0,091","0,21"
100a600.csv,100.0,400.0,200.0,"0,0059","0,0018","0,00061","0,29","0,1","0,35"
100a600.csv,100.0,400.0,300.0,"0,0082","0,0028","0,00067","0,35","0,083","0,24"
100a600.csv,100.0,400.0,400.0,"0,0098","0,0022","0,00033","0,23","0,034","0,15"
100a600.csv,100.0,400.0,500.0,"0,0043","0,0017","0,00064","0,4","0,15","0,37"
100a600.csv,100.0,500.0,100.0,"0,0078","0,0042","0,0012","0,54","0,15","0,28"
100a600.csv,100.0,500.0,200.0,"0,0085","0,0043","0,00095","0,5","0,11","0,22"
100a600.csv,100.0,500.0,300.0,"0,0093","0,003","0,00079","0,33","0,086","0,26"
100a600.csv,100.0,500.0,400.0,"0,0099","0,0029","0,001","0,3","0,1","0,34"
100a600.csv,100.0,500.0,500.0,"0,0044","0,0016","0,0006","0,37","0,14","0,37"
100a600.csv,200.0,100.0,100.0,"0,01","0,11","0,013","10,7740","1,2797","0,12"
100a600.csv,200.0,100.0,200.0,"0,016","0,11","0,02","6,8322","1,2289","0,18"
100a600.csv,200.0,100.0,300.0,"0,021","0,099","0,011","4,8171","0,53","0,11"
100a600.csv,200.0,100.0,400.0,"0,032","0,11","0,021","3,6081","0,65","0,18"
100a600.csv,200.0,100.0,500.0,"0,045","0,24","0,027","5,2084","0,58","0,11"
100a600.csv,200.0,200.0,100.0,"0,019","0,33","0,029","17,1482","1,4971","0,087"
100a600.csv,200.0,200.0,200.0,"0,033","0,12","0,025","3,6070","0,75","0,21"
100a600.csv,200.0,200.0,300.0,"0,038","0,09","0,023","2,3436","0,6","0,26"
100a600.csv,200.0,200.0,400.0,"0,044","0,069","0,012","1,5572","0,26","0,17"
100a600.csv,200.0,200.0,500.0,"0,081","0,13","0,024","1,6383","0,3","0,18"
100a600.csv,200.0,300.0,100.0,"0,018","0,051","0,0098","2,8224","0,54","0,19"
100a600.csv,200.0,300.0,200.0,"0,037","0,26","0,032","7,0460","0,87","0,12"
100a600.csv,200.0,300.0,300.0,"0,052","0,15","0,033","2,8131","0,63","0,22"
