arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,repeticao,quantidade_lucros_distintos,mesmo_lucro_todos_algoritmos
CSV_100a1000.csv,100,100,100,1,1,True
CSV_100a1000.csv,100,100,100,2,1,True
CSV_100a1000.csv,100,100,100,3,1,True
CSV_100a1000.csv,100,100,100,4,1,True
CSV_100a1000.csv,100,100,100,5,1,True
CSV_100a1000.csv,100,100,100,6,1,True
CSV_100a1000.csv,100,100,100,7,1,True
CSV_100a1000.csv,100,100,100,8,1,True
CSV_100a1000.csv,100,100,100,9,1,True
CSV_100a1000.csv,100,100,100,10,1,True
CSV_100a1000.csv,100,100,200,1,1,True
CSV_100a1000.csv,100,100,200,2,1,True
CSV_100a1000.csv,100,100,200,3,1,True
CSV_100a1000.csv,100,100,200,4,1,True
CSV_100a1000.csv,100,100,200,5,1,True
CSV_100a1000.csv,100,100,200,6,1,True
CSV_100a1000.csv,100,100,200,7,1,True
CSV_100a1000.csv,100,100,200,8,1,True
CSV_100a1000.csv,100,100,200,9,1,True
CSV_100a1000.csv,100,100,200,10,1,True
CSV_100a1000.csv,100,100,300,1,1,True
CSV_100a1000.csv,100,100,300,2,1,True
CSV_100a1000.csv,100,100,300,3,1,True
CSV_100a1000.csv,100,100,300,4,1,True
CSV_100a1000.csv,100,100,300,5,1,True
CSV_100a1000.csv,100,100,300,6,1,True
CSV_100a1000.csv,100,100,300,7,1,True
CSV_100a1000.csv,100,100,300,8,1,True
CSV_100a1000.csv,100,100,300,9,1,True
CSV_100a1000.csv,100,100,300,10,1,True
CSV_100a1000.csv,100,100,400,1,1,True
CSV_100a1000.csv,100,100,400,2,1,True
CSV_100a1000.csv,100,100,400,3,1,True
CSV_100a1000.csv,100,100,400,4,1,True
CSV_100a1000.csv,100,100,400,5,1,True
CSV_100a1000.csv,100,100,400,6,1,True
CSV_100a1000.csv,100,100,400,7,1,True
CSV_100a1000.csv,100,100,400,8,1,True
CSV_100a1000.csv,100,100,400,9,1,True
CSV_100a1000.csv,100,100,400,10,1,True
CSV_100a1000.csv,100,100,500,1,1,True
CSV_100a1000.csv,100,100,500,2,1,True
CSV_100a1000.csv,100,100,500,3,1,True
CSV_100a1000.csv,100,100,500,4,1,True
CSV_100a1000.csv,100,100,500,5,1,True
CSV_100a1000.csv,100,100,500,6,1,True
CSV_100a1000.csv,100,100,500,7,1,True
CSV_100a1000.csv,100,100,500,8,1,True
CSV_100a1000.csv,100,100,500,9,1,True
CSV_100a1000.csv,100,100,500,10,1,True
CSV_100a1000.csv,100,200,100,1,1,True
CSV_100a1000.csv,100,200,100,2,1,True
CSV_100a1000.csv,100,200,100,3,1,True
CSV_100a1000.csv,100,200,100,4,1,True
CSV_100a1000.csv,100,200,100,5,1,True
CSV_100a1000.csv,100,200,100,6,1,True
CSV_100a1000.csv,100,200,100,7,1,True
CSV_100a1000.csv,100,200,100,8,1,True
CSV_100a1000.csv,100,200,100,9,1,True
CSV_100a1000.csv,100,200,100,10,1,True
CSV_100a1000.csv,100,200,200,1,1,True
CSV_100a1000.csv,100,200,200,2,1,True
CSV_100a1000.csv,100,200,200,3,1,True
CSV_100a1000.csv,100,200,200,4,1,True
CSV_100a1000.csv,100,200,200,5,1,True
CSV_100a1000.csv,100,200,200,6,1,True
CSV_100a1000.csv,100,200,200,7,1,True
CSV_100a1000.csv,100,200,200,8,1,True
CSV_100a1000.csv,100,200,200,9,1,True
CSV_100a1000.csv,100,200,200,10,1,True
CSV_100a1000.csv,100,200,300,1,1,True
CSV_100a1000.csv,100,200,300,2,1,True
CSV_100a1000.csv,100,200,300,3,1,True
CSV_100a1000.csv,100,200,300,4,1,True
CSV_100a1000.csv,100,200,300,5,1,True
CSV_100a1000.csv,100,200,300,6,1,True
CSV_100a1000.csv,100,200,300,7,1,True
CSV_100a1000.csv,100,200,300,8,1,True
CSV_100a1000.csv,100,200,300,9,1,True
CSV_100a1000.csv,100,200,300,10,1,True
CSV_100a1000.csv,100,200,400,1,1,True
CSV_100a1000.csv,100,200,400,2,1,True
CSV_100a1000.csv,100,200,400,3,1,True
CSV_100a1000.csv,100,200,400,4,1,True
CSV_100a1000.csv,100,200,400,5,1,True
CSV_100a1000.csv,100,200,400,6,1,True
CSV_100a1000.csv,100,200,400,7,1,True
CSV_100a1000.csv,100,200,400,8,1,True
CSV_100a1000.csv,100,200,400,9,1,True
CSV_100a1000.csv,100,200,400,10,1,True
CSV_100a1000.csv,100,200,500,1,1,True
CSV_100a1000.csv,100,200,500,2,1,True
CSV_100a1000.csv,100,200,500,3,1,True
CSV_100a1000.csv,100,200,500,4,1,True
CSV_100a1000.csv,100,200,500,5,1,True
CSV_100a1000.csv,100,200,500,6,1,True
CSV_100a1000.csv,100,200,500,7,1,True
CSV_100a1000.csv,100,200,500,8,1,True
CSV_100a1000.csv,100,200,500,9,1,True
CSV_100a1000.csv,100,200,500,10,1,True
CSV_100a1000.csv,100,300,100,1,1,True
CSV_100a1000.csv,100,300,100,2,1,True
CSV_100a1000.csv,100,300,100,3,1,True
CSV_100a1000.csv,100,300,100,4,1,True
CSV_100a1000.csv,100,300,100,5,1,True
CSV_100a1000.csv,100,300,100,6,1,True
CSV_100a1000.csv,100,300,100,7,1,True
CSV_100a1000.csv,100,300,100,8,1,True
CSV_100a1000.csv,100,300,100,9,1,True
CSV_100a1000.csv,100,300,100,10,1,True
CSV_100a1000.csv,100,300,200,1,1,True
CSV_100a1000.csv,100,300,200,2,1,True
CSV_100a1000.csv,100,300,200,3,1,True
CSV_100a1000.csv,100,300,200,4,1,True
CSV_100a1000.csv,100,300,200,5,1,True
CSV_100a1000.csv,100,300,200,6,1,True
CSV_100a1000.csv,100,300,200,7,1,True
CSV_100a1000.csv,100,300,200,8,1,True
CSV_100a1000.csv,100,300,200,9,1,True
CSV_100a1000.csv,100,300,200,10,1,True
CSV_100a1000.csv,100,300,300,1,1,True
CSV_100a1000.csv,100,300,300,2,1,True
CSV_100a1000.csv,100,300,300,3,1,True
CSV_100a1000.csv,100,300,300,4,1,True
CSV_100a1000.csv,100,300,300,5,1,True
CSV_100a1000.csv,100,300,300,6,1,True
CSV_100a1000.csv,100,300,300,7,1,True
CSV_100a1000.csv,100,300,300,8,1,True
CSV_100a1000.csv,100,300,300,9,1,True
CSV_100a1000.csv,100,300,300,10,1,True
CSV_100a1000.csv,100,300,400,1,1,True
CSV_100a1000.csv,100,300,400,2,1,True
CSV_100a1000.csv,100,300,400,3,1,True
CSV_100a1000.csv,100,300,400,4,1,True
CSV_100a1000.csv,100,300,400,5,1,True
CSV_100a1000.csv,100,300,400,6,1,True
CSV_100a1000.csv,100,300,400,7,1,True
CSV_100a1000.csv,100,300,400,8,1,True
CSV_100a1000.csv,100,300,400,9,1,True
CSV_100a1000.csv,100,300,400,10,1,True
CSV_100a1000.csv,100,300,500,1,1,True
CSV_100a1000.csv,100,300,500,2,1,True
CSV_100a1000.csv,100,300,500,3,1,True
CSV_100a1000.csv,100,300,500,4,1,True
CSV_100a1000.csv,100,300,500,5,1,True
CSV_100a1000.csv,100,300,500,6,1,True
CSV_100a1000.csv,100,300,500,7,1,True
CSV_100a1000.csv,100,300,500,8,1,True
CSV_100a1000.csv,100,300,500,9,1,True
CSV_100a1000.csv,100,300,500,10,1,True
