arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,algoritmo,execucoes,tempo_medio,tempo_mediano,desvio_padrao_tempo,tempo_minimo,tempo_maximo,lucro_medio,coeficiente_variacao_tempo
CSV_100a1000.csv,100,100,100,dp,10,"0,0024","0,0019","0,0013","0,00081","0,0049",3927.7,"0,55"
CSV_100a1000.csv,100,100,100,bt,10,"0,0022","0,0015","0,0026","0,00054","0,0092",3927.7,"1,1946"
CSV_100a1000.csv,100,100,100,bb,10,"0,00071","0,00048","0,00054","0,00018","0,0015",3927.7,"0,77"
CSV_100a1000.csv,100,100,200,dp,10,"0,0039","0,0036","0,0016","0,0014","0,0073",4550.3,"0,4"
CSV_100a1000.csv,100,100,200,bt,10,"0,0027","0,0023","0,0021","0,00046","0,0071",4550.3,"0,76"
CSV_100a1000.csv,100,100,200,bb,10,"0,0008","0,00048","0,00091","0,000099","0,0031",4550.3,"1,1436"
CSV_100a1000.csv,100,100,300,dp,10,"0,0033","0,0033","0,0019","0,00081","0,0063",3789.4,"0,56"
CSV_100a1000.csv,100,100,300,bt,10,"0,0013","0,0011","0,00074","0,00036","0,0026",3789.4,"0,59"
CSV_100a1000.csv,100,100,300,bb,10,"0,00053","0,00047","0,00048","0,000069","0,0017",3789.4,"0,89"
CSV_100a1000.csv,100,100,400,dp,10,"0,0037","0,0034","0,002","0,0016","0,0074",4196.9,"0,55"
CSV_100a1000.csv,100,100,400,bt,10,"0,0016","0,0014","0,0011","0,00053","0,0045",4196.9,"0,71"
CSV_100a1000.csv,100,100,400,bb,10,"0,00037","0,0003","0,00024","0,00011","0,00082",4196.9,"0,66"
CSV_100a1000.csv,100,100,500,dp,10,"0,0039","0,0038","0,0018","0,0014","0,007",3888.5,"0,47"
CSV_100a1000.csv,100,100,500,bt,10,"0,0021","0,0016","0,0016","0,00031","0,0048",3888.5,"0,79"
CSV_100a1000.csv,100,100,500,bb,10,"0,0009","0,00062","0,00097","0,0002","0,0034",3888.5,"1,0798"
CSV_100a1000.csv,100,200,100,dp,10,"0,0041","0,0043","0,0015","0,0018","0,0064",4300.5,"0,36"
CSV_100a1000.csv,100,200,100,bt,10,"0,0036","0,0026","0,0026","0,0011","0,009",4300.5,"0,71"
CSV_100a1000.csv,100,200,100,bb,10,"0,00092","0,00063","0,00069","0,00026","0,0022",4300.5,"0,75"
CSV_100a1000.csv,100,200,200,dp,10,"0,0053","0,0044","0,0026","0,0017","0,01",4254.6,"0,5"
CSV_100a1000.csv,100,200,200,bt,10,"0,0031","0,0026","0,0018","0,00078","0,0056",4254.6,"0,6"
CSV_100a1000.csv,100,200,200,bb,10,"0,0011","0,00078","0,0011","0,000094","0,0036",4254.6,"0,94"
CSV_100a1000.csv,100,200,300,dp,10,"0,0059","0,0057","0,0037","0,00077","0,014",4423.0,"0,63"
CSV_100a1000.csv,100,200,300,bt,10,"0,0031","0,0029","0,0022","0,00036","0,0068",4423.0,"0,7"
CSV_100a1000.csv,100,200,300,bb,10,"0,00066","0,00048","0,00063","0,00007","0,0019",4423.0,"0,95"
CSV_100a1000.csv,100,200,400,dp,10,"0,012","0,0038","0,02","0,0014","0,066",4838.1,"1,7030"
CSV_100a1000.csv,100,200,400,bt,10,"0,0042","0,0017","0,0075","0,0004","0,025",4838.1,"1,7769"
CSV_100a1000.csv,100,200,400,bb,10,"0,00051","0,00031","0,00046","0,00011","0,0016",4838.1,"0,89"
CSV_100a1000.csv,100,200,500,dp,10,"0,0046","0,0045","0,0012","0,0025","0,0061",4399.6,"0,25"
CSV_100a1000.csv,100,200,500,bt,10,"0,0016","0,0015","0,00054","0,00091","0,0028",4399.6,"0,33"
CSV_100a1000.csv,100,200,500,bb,10,"0,00041","0,00025","0,00037","0,000084","0,0011",4399.6,"0,89"
CSV_100a1000.csv,100,300,100,dp,10,"0,0032","0,0033","0,0013","0,0012","0,005",3571.0,"0,39"
CSV_100a1000.csv,100,300,100,bt,10,"0,0016","0,0015","0,00061","0,00064","0,0024",3571.0,"0,38"
CSV_100a1000.csv,100,300,100,bb,10,"0,00062","0,00042","0,00059","0,00013","0,0022",3571.0,"0,96"
CSV_100a1000.csv,100,300,200,dp,10,"0,0062","0,0045","0,0042","0,0019","0,012",4229.1,"0,68"
CSV_100a1000.csv,100,300,200,bt,10,"0,0031","0,0023","0,0025","0,00059","0,0076",4229.1,"0,81"
CSV_100a1000.csv,100,300,200,bb,10,"0,0011","0,00085","0,00079","0,00029","0,0027",4229.1,"0,75"
CSV_100a1000.csv,100,300,300,dp,10,"0,0051","0,0045","0,0045","0,0012","0,017",4066.5,"0,89"
CSV_100a1000.csv,100,300,300,bt,10,"0,0018","0,0015","0,0012","0,00061","0,0038",4066.5,"0,65"
CSV_100a1000.csv,100,300,300,bb,10,"0,00051","0,00054","0,00029","0,000082","0,00093",4066.5,"0,56"
CSV_100a1000.csv,100,300,400,dp,10,"0,0067","0,0063","0,0028","0,0029","0,012",4547.6,"0,42"
CSV_100a1000.csv,100,300,400,bt,10,"0,0023","0,0022","0,00088","0,0012","0,0039",4547.6,"0,38"
CSV_100a1000.csv,100,300,400,bb,10,"0,00061","0,00055","0,00045","0,000097","0,0014",4547.6,"0,74"
CSV_100a1000.csv,100,300,500,dp,10,"0,0052","0,0045","0,0042","0,00098","0,016",4077.3,"0,8"
CSV_100a1000.csv,100,300,500,bt,10,"0,0018","0,0015","0,0016","0,00035","0,006",4077.3,"0,88"
CSV_100a1000.csv,100,300,500,bb,10,"0,0006","0,00034","0,00084","0,00022","0,003",4077.3,"1,3927"
CSV_100a1000.csv,100,400,100,dp,10,"0,0054","0,0049","0,0026","0,0026","0,011",4235.1,"0,47"
CSV_100a1000.csv,100,400,100,bt,10,"0,0024","0,0019","0,0013","0,00048","0,0046",4235.1,"0,55"
CSV_100a1000.csv,100,400,100,bb,10,"0,00049","0,00041","0,00026","0,00022","0,0009",4235.1,"0,53"
CSV_100a1000.csv,100,400,200,dp,10,"0,0059","0,0036","0,007","0,0016","0,026",4041.8,"1,1848"
CSV_100a1000.csv,100,400,200,bt,10,"0,0018","0,0015","0,0011","0,0004","0,0042",4041.8,"0,65"
CSV_100a1000.csv,100,400,200,bb,10,"0,00061","0,00043","0,00056","0,00021","0,0018",4041.8,"0,91"
CSV_100a1000.csv,100,400,300,dp,10,"0,0082","0,0062","0,006","0,0015","0,021",4501.3,"0,74"
CSV_100a1000.csv,100,400,300,bt,10,"0,0028","0,0022","0,0024","0,00073","0,0087",4501.3,"0,87"
CSV_100a1000.csv,100,400,300,bb,10,"0,00067","0,00059","0,00048","0,00018","0,0018",4501.3,"0,71"
CSV_100a1000.csv,100,400,400,dp,10,"0,0098","0,0077","0,0072","0,0022","0,024",4676.2,"0,73"
CSV_100a1000.csv,100,400,400,bt,10,"0,0022","0,0026","0,0011","0,00071","0,0036",4676.2,"0,48"
CSV_100a1000.csv,100,400,400,bb,10,"0,00033","0,00028","0,00021","0,00012","0,00084",4676.2,"0,62"
CSV_100a1000.csv,100,400,500,dp,10,"0,0043","0,0042","0,0014","0,002","0,0062",4146.1,"0,32"
CSV_100a1000.csv,100,400,500,bt,10,"0,0017","0,002","0,0007","0,00078","0,0026",4146.1,"0,41"
CSV_100a1000.csv,100,400,500,bb,10,"0,00064","0,0006","0,00025","0,00024","0,0012",4146.1,"0,39"
CSV_100a1000.csv,100,500,100,dp,10,"0,0078","0,0051","0,0096","0,0013","0,033",4165.4,"1,2383"
CSV_100a1000.csv,100,500,100,bt,10,"0,0042","0,002","0,0052","0,00047","0,016",4165.4,"1,2549"
CSV_100a1000.csv,100,500,100,bb,10,"0,0012","0,00073","0,0012","0,0002","0,0042",4165.4,"1,0229"
CSV_100a1000.csv,100,500,200,dp,10,"0,0085","0,0078","0,0044","0,0016","0,016",4531.5,"0,52"
CSV_100a1000.csv,100,500,200,bt,10,"0,0043","0,0031","0,0037","0,00048","0,013",4531.5,"0,86"
CSV_100a1000.csv,100,500,200,bb,10,"0,00095","0,00056","0,001","0,00025","0,0037",4531.5,"1,0945"
CSV_100a1000.csv,100,500,300,dp,10,"0,0093","0,0062","0,011","0,0016","0,037",3965.9,"1,1758"
CSV_100a1000.csv,100,500,300,bt,10,"0,003","0,0016","0,0033","0,00042","0,01",3965.9,"1,0941"
CSV_100a1000.csv,100,500,300,bb,10,"0,00079","0,00065","0,00073","0,00013","0,0025",3965.9,"0,92"
